Adam's Venture 2: Solomon's Secret	AdamsVenture2				
Adam's Venture - Episode 1: The Search for the Lost G	AdamsVentureEp1				
Afrika Korps	afrikakorps	819	tbhWCq		
Against Rome	agrome	782	8mEKiP		
Age Of Wonders	aowfull	162	alVRIq		
Age Of Wonders (Demo)	aowdemo	160	alVRIq		
Age of Booty (PC)	plunderpc	2064	NmLqNN		
Age of Booty (PS3)	plunderps3	2133	RbMD9p		
Age of Booty Beta	ageofbooty				
Age of Bootyta	ageofbootybeta				
Age of Conan	ageofconan				
Age of Conan beta	ageofconanb	2147	QZQLGt		
Age of Empires	aoe	56	VzkADe		
Age of Empires 3	aoe3				
Age of Empires 3: The Warchiefs Demo	aoe3wcd	1542	ZDdpQV		
Age of Empires Expansion	aoex	1425	JafcLp		
Age of Empires II	aoe2	46	iZhjKi		
Age of Empires II (Demo)	aoe2demo	169	alVRIq		
Age of Empires II: The Conquerors	aoe2tc	258	p4jAGg		
Age of Empires II: The Conquerors Demo	aoe2tcdemo	261	wUhCSC		
Age of Empires: Mythologies (DS)	aoemythds	2205	a9EK9F		
Age of Sail 2	ageofsail2	282	Kb3ab5		
Age of Wonders 2	aow2	389	csFcq8		
Age of Wonders 2 Demo	aow2d	623	S6aiiP		
Age of Wonders: Shadow Magic (aow3)	aow3	803	W88dvR		
Age of Wonders: Shadow Magic (aowsm)	aowsm	805	W78cvR		
Agent  Automatch (PS3)	agentps3am	2931	8me2Ja		
Agent (PS3)	agentps3	2930	8me2Ja		
Agricultural Simulator 2011	AgriculturalSimula				
Aion	aion				
Aion: Assault on Balaurea	Aion_AoB				
Air Wings (DS)	airwingsds	1362	5TTmMf		
AirStrike II	AirStrikeII				
AirStrike II: Gulf Thunder	AirStrikeIIGulfThu				
Airport Control Simulator	AirportControlSimu				
Airstrike 3D	Airstrike3D				
Akumajou Dracula: Gallery of Labyrinth (DS)	draculagolds	1448	1VyHxN		
Al Emmo and the Lost Dutchman's Mine	alemmoldm				
Alcatraz: Prison Escape	msecurity	527	j9Ew2L		
Alchemia - Extended Version	AlchemiaExtendedVe				
Alganon	alganon				
Alice: Madness Returns	AliceMadnessReturn				
Alien Breed 2: Assault	s_AlienBreed2Assau				
Alien Breed 3 Descent	alienbreed3				
Alien Breed: Impact	s_AlienBreedImpact				
Alien Crash (WiiWare)	aliencrashwii	2116	gRfsiO		
Alien Crossfire	aliencross	145	IOrDfP		
Alien Hallway	AlienHallway				
Alien Pig Farm 3000 Volume 1	AlienPigFarm3000V1				
Alien Shooter	alienshooter				
Alien Shooter 2 - Reloaded	AlienShooter2Reloa				
Aliens Vs Predator  Automatch (OnLive)	avponliveam		QZlhzB		
Aliens Vs Predator (OnLive)	avponlive		QZlhzB		
Aliens versus Predator	avp	53	WtGzHr		
Aliens vs Predator 2	avp2	421	Df3M6Z		
Aliens vs Predator 2 Demo	avp2demo	528	Df3M6Z		
Aliens vs. Predator	avpnotgold	431	DLiQwZ		
Aliens vs. Predator	s_AliensVSPredator				
Aliens vs. Predator 2 (Low violence)	avp2lv	562	Df3M6Z		
Aliens vs. Predator 2: Primal Hunt	avp2ph	642	P4fR9w		
Aliens: Colonial Marines  Automatch (PC)	AliensCMPCam	2279	5T4ATR		
Aliens: Colonial Marines  Automatch (PS3)	AliensCMPS3am	2282	5T4ATR		
Aliens: Colonial Marines  Demo (PC)	AliensCMPCd	2280	5T4ATR		
Aliens: Colonial Marines  Demo (PS3)	AliensCMPS3d	2283	5T4ATR		
Aliens: Colonial Marines (PC)	AliensCMPC	2278	5T4ATR		
Aliens: Colonial Marines (PS3)	AliensCMPS3	2281	5T4ATR		
Alient Shooter 2 - Conscription	AlienShooter2Consc				
All Aspect Warfare	AllAspectWarfare				
All-star Baseball 2005	asbball2005ps2	849	Y3pG1m		
Allods Online Beta	allodsobeta				
Alone In The Dark	aloneitd				
Alpha Kimori: Episode One	AlphaKimoriEpisode				
Alpha Prime	alphaprime				
Alpha Protocol	AlphaProtocol				
Altitude	altitude	954	DZzvoR		
Amazing Adventures - The Forgotten Dynasty	AmazingAdventuresT				
America Addon	americax	458	CSCQMZ		
America's Army 3	aarmy3	2795	zwAbg5		
America's Army 3 Beta	aarmy3beta				
American McGee's Grimm Episode 09	AmMcGeeGrimm09				
American McGee's Grimm Episode 10	AmMcGeeGrimm10				
American McGee's Grimm Episode 11	AmMcGeeGrimm11				
American McGee's Grimm Episode 12	AmMcGeeGrimm12				
American McGee's Grimm Episode 13	AmMcGeeGrimm13				
American McGee's Grimm Episode 14	ammcgeesgrimmep14				
American McGee's Grimm Episode 17	americanmcgeesgrim				
American McGee's Grimm Episode 3	AmMcGeeGrimm03		SWUWsc		
American McGee's Grimm Episode 4	AmMcGeeGrimm04		BDjKYg		
American McGee's Grimm Episode 5	AmMcGeeGrimm05				
American McGee's Grimm Episode 6	AmMcGeeGrimm06				
American McGee's Grimm Episode 7	AmMcGeeGrimm07				
American McGee's Grimm Episode 8	AmMcGeeGrimm08				
American Mcgee's Grimm Episode 2	AmMcGeeGrimm02		wOTjPr		
Americas Army: Special Forces	armygame	610	g3sR2b		
Americas Army: Special Forces (Mac)	armygamemac	831	g3sR2b		
Amnesia: The Dark Descent	Amnesia				
Anarchy Online	anarchyonline	1784	ThLopr		
Ancient Quest of Saqqarah D2D	AncientQofSaq		UIctfg		
Ancient Ruler Dinosaur King (DS)	ardinokingds	1670	6wO62C		
Ancient Ruler Dinosaur King (EU) (DS)	dinokingEUds	1933	0E0awE		
Ancients of Ooga	ancientsofooga				
And Yet It Moves	andyetitmoves				
Angle Of Attack	AngleOfAttack				
Animal Crossing (DS)	acrossingds	1259	h2P9x6	1	gOAkBaBav5XHlGyUKOOD
Animal Crossing (DS, Automatch)	acrossingdsam	1264	h2P9x6	1	gOAkBaBav5XHlGyUKOOD
Animal Crossing Wii (Wii)	acrossingwii	2187	Z7Fm9K		
Ankh: Battle of the Gods	ankhbattleofthegod				
Ankh: Heart of Osiris	ankhheartofosiris				
Ankh: Reverse the Curse	AnkhReversetheCurs				
Ankh: The Lost Treasures	ankhthelosttreasur				
Anno 1503	anno1503	475	9mDKiP		
Anno 1503 Beta	anno1503b	834	mEcJMZ		
Anno 1602 A.D.	anno1602ad	240	sAJtHo		
Anno 1701	anno1701	1434	Xa6zS3		
Anno 1701 Demo	anno1701d	1528	taEf7n		
Anomaly Warzone Earth	AnomalyWarzoneEart				
Apocalyptica	apocalyptica		T3d8x7		
Apocalyptica	apocalypticadi	820	T3d8x7		
Apple SDK test	appletest	2665	TZHVox		
Apple SDK test Automatch	appletestam	2666	TZHVox		
Apple SDK test Demo	appletestd	2667	TZHVox		
AquaPark Tycoon	aquaparktycoon				
AquaPets: 101 Dolphin Pets	AquaPets101Dolphin				
AquaPets: 101 Otter Pets	AquaPets101OtterPe				
AquaPets: 101 Penguin Pets	AquaPets101Penguin				
AquaPets: 101 Seal Pets	AquaPets101SealPet				
AquaPets: 101 Shark Pets	AquaPets101SharkPe				
Aquanox	aquanox	491	U3pf8x		
Aquaria	aquaria				
Aquitania	aquitania				
Arc: Sierra	arc	444	M9tZe4		
ArcaniA - Gothic 4	ArcaniAGothic4				
Archlord	archlord	1667	eLiRAC		
Archon	Archon				
Arctic Stud Poker Run	ArcticStudPokerRun				
Area 51	Area51				
Area 51 (PC)	area51pc	1161	mW73mq		
Area 51 (PC) Beta	area51pcb	1164	mW73mq		
Area 51 (PS2)	area51ps2	989	eR48fP		
Arkadian Warriors	arkwarriors	1919	sTPqLc		
Arkadian Warriors Automatch	arkwarriorsam	1920	sTPqLc		
Arkanoid DS (DS)	arkanoidds	1808	QxU6hI		
Arkanoid DS (US/EU) (DS)	arkaUSEUds	2102	kORtxH		
ArmA	armedass	1508	peprUy		
ArmA 2: Operation Arrowhead	ArmA2OA				
ArmA 2: Private Military Company	ArmA2OA_PMC				
ArmA Demo	armedassd	1570	peprUy		
ArmA: Armed Assault	armaas	1677	fgDmOT		
Arma 2: Operation Arrowhead  Automatch (PC)	arma2oapcam		sGKWik		
Arma 2: Operation Arrowhead  Demo (PC)	arma2oapcd		sGKWik		
Arma 2: Operation Arrowhead (PC)	arma2oapc		sGKWik		
Arma II	arma2				
Arma II (PC)	arma2pc	2644	zbMmN3		
Arma II Automatch (PC)	arma2pcam	2645	zbMmN3		
Arma II Demo (PC)	arma2pcd	2646	zbMmN3		
Armada 2526	Armada2526				
Armada 2526: Supernova	Armada2526Supernov				
Armed And Dangerous	armedndangerous				
Armed Seven	ArmedSeven				
Armies of Exigo	exigo	827	mPBHcI		
Armies of Exigo (Automatch)	exigoam	991	mPBHcI		
Armies of Exigo (Automatch)	exigoram	1095	mPBHcI		
Armies of Exigo Beta	exigob	1056	mPBHcI		
Armies of Exigo Beta (Automatch)	exigobam	1057	mPBHcI		
Armies of Exigo Retail	exigor	1094	mPBHcI		
Armored Fist 3	ArmoredFist3				
Army Men	armymen	432	V5Hm41		
Army Men - Air Tactics	amairtac	201	8dvSTO		
Army Men II	armymen2	206	YBLJvU		
Army Men RTS	armymenrts	470	Rp4jGh		
Army Men Toys in Space	armymenspc	207	r1wXEX		
Army Men: World War	amworldwar	202	nLfZDY		
Around the World in 80 Days	AroundtheWorldin80				
Arsenal of Democracy	arsenalofdemocracy				
Arx Fatalis	ArxFatalis				
Ascension (PC)	ascensionpc	2675	1aT6fS		
Ascension Automatch (PC)	ascensionpcam	2676	1aT6fS		
Ascension Demo (PC)	ascensionpcd	2677	1aT6fS		
Ascension to the Throne - Valkyrie	AscensionThroneVal				
Asheron's Call - Throne of Destiny	ashcalltod				
Asobi Taizen (DS)	asobids	1337	1L77RN		
Asondewakaru THE Party/Casino (Wii)	Asonpartywii	1875	g4hp4x		
Assassin's Creed	asscreed				
Assassin's Creed 2	assasinscreed2				
Assassin's Creed: Brotherhood	AssassinsCreedBrot				
Assault Heroes	AssaultHeroesD2		GZUXrC		
Assault Heroes	assaultheroes	1652	WpA5Tx		
Assault Heroes Automatch	assaultheroesam	1653	WpA5Tx		
Assault Heroes D2D	AssaultHeroesD2D		GZUXrC		
Assetss	_assets				
Assimilation	assimilation	408	BOFdk1		
Assult (Wii)	assultwii	2231	6AStwk		
Astro Avenger	AstroAvenger				
Astro Avenger II	astroavengerII				
Atari Arcade Hits	AtariAH1				
Atari Arcade Hits: Asteroids	AtariAH1Asteroids				
Atari Arcade Hits: Centipede	AtariAH1Centipede				
Atari Arcade Hits: Missile Command	AtariAH1MissileC				
Atari Arcade Hits: Pong	AtariAH1Pong				
Atari Arcade Hits: Super Breakout	AtariAH1SuperB				
Atari Arcade Hits: Tempest	AtariAH1Tempest				
Atari: 80 Classic Games in One	atari80games				
Atlantica	atlantica	405	LfZDXB		
Atlantica Online	AtlanticaOnline				
Atlantis	atlantis	306	W49nx4		
Atlantis Prequel	atlantispre	309	W49nx4		
Atlantis Quest	AtlantisQuest				
Atom Zombie Smasher	AtomZombieSmasher				
Atomic City Adventures: The Case of the Black Dragon	atomiccityadventur				
Attack On Pearl Harbor	AttackOnPearlHarbo				
Attack On Pearl Harbor	aopharbor				
Austerlitz: Napoleons Gre	austerlitz	498	hCSBQM		
Avadon: The Black Fortress	AvadonTheBlackFort				
Avatar	avatar				
Avatar Demo	avatardemo				
Avencast: Rise of the Mage	Avencast				
Aveyond: Ean's Quest	AveyondEansQuest				
Aveyond: Gates of Night	AveyondGatesofNigh				
Aveyond: Lord of Twilight	AveyondLordofTwili				
Aveyond: Rhen's Quest	AveyondRhensQuest				
Aveyond: The Darkthrop Prophecy	AveyondTheDarkthro				
Aveyond: The Lost Orb	AveyondTheLostOrb				
Axis	axis	474	nYBLJv		
Axis & Allies	axisallies	173	JwWh9S		
Axis & Allies: Iron Blitz	axallirnb	225	GexS6a		
Axis and Allies RTS	aarts	868	tR3b8h		
Axis and Allies RTS demo	aartsd	1080	tR3b8h		
Azkend	azkend				
Aztaka	aztaka				
BLEACH Wii2 (Wii)	bleach2wii	2218	hTswOX		
BRINK	BRINK				
Back to the Future - Episode 2	BackToTheFutureEp2				
Back to the Future: The Game - Episode 1	BackToTheFutureEp1				
Back to the Future: The Game - Episode 5	BacktotheFutureEp5				
Bad Planet	BadPlanet				
Bad Rats	badrats				
Baldur's Gate	bgate	2	2ozFrM		
Baldur's Gate II: Shadows of Amn	bgate2	247	U9b3an		
Baldur's Gate II: Throne of Bhaal	bg2bhaal	383	532HaZ		
Baldur's Gate: Tales of the Sword Coast	bgatetales	500	GjuMcs		
Baludurs Gate	baldursg	155	3MHCZ8		
Banana Bugs	BananaBugs				
Banbura DX Photo Frame Radio (DS)	banburadxds	2553	04cR2B		
Bandits: Phoenix Rising	bandits	677	H2k9bD		
Bandits: Phoenix Rising Demo	banditsd	693	H2k9bD		
Bang! Gunship Elite	bang	260	zgsCV2		
Bang! Gunship Elite Demo	bangdemo	239	Hl31zd		
Baron Wittard: Nemesis of Ragnarok	BaronWittard				
Baseball Mogul 2007	bmogul07				
Baseball Mogul 2008	BMogul2008				
Baseball Mogul 2010	baseballmogul2010				
Bass Angler 2003	bangler2003	660	hCTCQM		
Batman Arkham Asylum	batarkasy				
Batman Arkham Asylum GOTY	batmanaagotyd2d				
Batman: Arkham Asylum 2  Automatch (PS3)	batmanaa2ps3am		3kgng6		
Batman: Arkham Asylum 2 (PS3)	batmanaa2ps3		3kgng6		
Battalion Wars II (Wii)	batwars2wii	1568	XvB2pu		
Battle Boarders (WiiWare)	bboarderswii	2234	Z5pkm2		
Battle Cruiser 3000 AD	bc3k	165	5LnQaz		
Battle Mages	battlemages	879	ZMWyOO		
Battle Mages: Sign of Darkness	BattleMagesSoDD2D				
Battle Realms	battlerealms	341	hU7wE3		
Battle Realms Beta	battlerealmsbBA		hU7wE3		
Battle Realms Beta	battlerealmsbBAD	542			
Battle Spirits  Automatch (DS)	bspiritsdsam		rFSr5s		
Battle Spirits (DS)	bspiritsds		rFSr5s		
Battle: Los Angeles	BattleLA				
BattleForce Beta	bforcebeta				
BattleForge	battleforge				
Battlecruiser: Millenium	bcm	263	tHg2t7		
Battlefield 1942	bfield1942	541	HpWx9z		
Battlefield 1942 (Mac)	bfield1942mac	980	HpWx9z		
Battlefield 1942 Demo	bfield1942d	671	gF4i8U		
Battlefield 1942 Road to Rome (Mac)	bfield1942rtrm	981	HpWx9z		
Battlefield 1942 Testing	bfield1942t	1096	HpWx9z		
Battlefield 1942: Road to Rome	bfield1942rtr	713	HpWx9z		
Battlefield 1942: Secret Weapons of WW2	bfield1942sw	783	HpWx9z		
Battlefield 1942: Secret Weapons of WW2 Demo	bfield1942swd	811	r3Yjs8		
Battlefield 1942: Secret Weapons of WW2 Mac	bf1942swmac	1061	HpWx9z		
Battlefield 2	battlefield2	1059	hW6m9a		
Battlefield 2 DDoS testing	bf2ddostest	1419	hW6m9a		
Battlefield 2 Demo	battlefield2d	1106	hW6m9a		
Battlefield 2 Snapshot testing	bf2sttest	1285	NFFtwb		
Battlefield 2142	bf2142	1477	FIlaPo		
Battlefield 2142	stella	1324	flfRQv		
Battlefield 2142 (Beta)	bf2142b	1478	sdbMvQ		
Battlefield 2142 (Demo)	stellad	1325	UoiZSm		
Battlefield 2142 (EAD)	bf2142e	1549	flfRQv		
Battlefield 2142 Demo	bf2142d	1527	UoiZSm		
Battlefield 2: Special Forces	bfield2xp1	1256	hW6m9a		
Battlefield 3	Battlefield3				
Battlefield Bad Company 2	battlefieldbadco2				
Battlefield Bad Company 2 Beta	battlefieldbadco2b				
Battlefield Modern Combat  Automatch (PS2)	bfield1942ps2am	1297	HpWx9z		
Battlefield Modern Combat (PS2)	bfield1942ps2	844	HpWx9z		
Battlefield Modern Combat (PS2) Beta	bfield1942ps2b	1115	HpWx9z		
Battlefield: Vietnam	bfvietnam	880	h2P9dJ		
Battlefield: Vietnam Testing	bfvietnamt	1099	h2P9dJ		
Battleship: Fleet Command	battleshipfc				
Battlestations Midway (PC)	bsmidwaypc	1177	qY84Ne		
Battlestations Midway (PC) (Automatch)	bsmidwaypcam	1179	qY84Ne		
Battlestations Midway (PS2)	bsmidwayps2	1178	qY84Ne		
Battlestations Midway Demo	bsmidway	1625	fLtUIc		
Battlestations Midway PS2 (Automatch)	bsmidwayps2am	1180	qY84Ne		
Battlestations Pacific	bstationspac				
Battlestrike: Operation Thunderstorm  Automatch (PC)	bstrikeotspcam	2090	7vRSBa		
Battlestrike: Operation Thunderstorm  Demo (PC)	bstrikeotspcd	2091	7vRSBa		
Battlestrike: Operation Thunderstorm (PC)	bstrikeotspc	2089	7vRSBa		
Battlezone II: Combat Commander	bz2	4	tGbcNv		
Bay Blade (DS)	bbladeds	2376	7TUkXB		
Beat Hazard	BeatHazard				
Beat Runner (WiiWare)	beatrunnerwii	2462	CAI5ov		
Beaterator  Automatch (PSP/iphone)	beateratoram	2671	VXtdws		
Beaterator  Demo (PSP/iphone)	beateratord	2672	VXtdws		
Beaterator (PSP)	beateratorpsp	2580	VXtdws		
Beaterator (PSP/iphone)	beaterator	2670	VXtdws		
Beaterator (iPhone)	beateratoriph	2620	qV4GA6		
Beaterator Automatch (PSP)	beateratorpspam	2581	VXtdws		
Beaterator Automatch (iPhone)	beateratoripham	2621	qV4GA6		
Beaterator Demo (PSP)	beateratorpspd	2582	VXtdws		
Beaterator Demo (iPhone)	beateratoriphd	2622	qV4GA6		
Becky Brogan: The Mystery of Meane Manor	beckybrogantmomm				
Beep	beep				
Beijing 2008	beijing2008				
Beijing 2008  Automatch (PC)	beijing08pcam	2073	P4QzX5		
Beijing 2008  Automatch (PS3)	beijing08ps3am	2076	P4QzX5		
Beijing 2008  Demo (PC)	beijing08pcd	2074	P4QzX5		
Beijing 2008  Demo (PS3)	beijing08ps3d	2077	P4QzX5		
Beijing 2008 (PC)	beijing08pc	2072	P4QzX5		
Beijing 2008 (PS3)	beijing08ps3	2075	P4QzX5		
Bejeweled 2  Automatch (Wii)	bejeweled2wiiam		83V7wq		
Bejeweled 2 (Wii)	bejeweled2wii		83V7wq		
Bejeweled 2 Deluxe	Bejeweled2Deluxe				
Bejeweled Twist	BejeweledTwist				
Ben 10 Bounty Battle	ben10bb	1833	bwV3xN		
Ben 10 Bounty Battle Automatch	ben10bbam	1834	bwV3xN		
Ben There, Dan That	BenThereDanThat				
Beowulf	beowulf				
Besieger	besieger	984	ydG3vz		
Best Friend - Main Pferd (DS)	bestfriendds	1754	i7Sk5y		
Best Game Ever (WiiWare)	bgeverwii	2223	zDalN6		
Bet On Soldier	betonsoldierd	1253	mH2y9u		
Bet on Soldier	betonsoldier	1144	mH2y9u		
Beware (WiiWare)	bewarewii	2821	iTHrhz		
Beyond Good & Evil	beyondge				
Big Bang Mini (DS)	bbangminids	2138	ErZPG8		
Big Brian Wolf	bigbrainwolf				
Bikini Karate Babes	BikiniKarateBabes				
Bionic Commando Rearmed	biocomrearmed				
Bionic Commando Rearmed (Censored)	BioComRearmedCenso				
Bioshock	bioshockd	1856	eoaXfs		
Bioshock 2 Multiplayer	bioshock2mp				
Bioshock 2 Single Player	bioshock2sp				
Bioshock Demo	bioshock	1855	SGeqMj		
Birth of the Federation	stbotf	199	aiiOU0		
Bit.Trip Complete (Wii)	bittripwii		Sz414M		
Black Mirror 2: Reigning Evil	BlackMirror2Reigni				
Black Mirror 3: The Final Fear	BlackMirror3TheFin				
Black Thorn Demo	rsblackthornd	540	BLJvUh		
Black and White	bandw	269	KbEab3		
Black9 (PC)	black9pc	760	h2F9cv		
Black9 (PS2)	black9ps2	761	w3D8gY		
Blacklight: Tango Down	BlacklightTangoDow				
Blacklight: Tango Down  Automatch (PS3)	foxtrotps3am		b7MJTP		
Blacklight: Tango Down  Demo (PS3)	foxtrotps3d		b7MJTP		
Blacklight: Tango down (PS3)	foxtrotps3		b7MJTP		
Blacksite: Area 51	blacksitearea51				
Blackwell Legacy	BlackwellLegacy				
Blackwell Unbound	BlackwellUnbound				
Blade	blade	426	Eel1q7		
Blade Kitten	BladeKitten				
Blade of Darkness	bodarkness	422	Jn33pM		
Blazer Drive (DS)	blzrdriverds	2252	n9HLOG		
Blazing Angels 2: Secret Missions of WWII	BA2SecretMissionsW				
Blazing Angels: Squadrons of WWII	BlazingAngelsSquad				
Bleach (DS)	bleachds	1299	5BuVRR		
Bleach DS (EU) (DS)	bleach1EUds	1718	9AxT0s		
Bleach DS (US) (DS)	bleach1USds	1701	d4wISd		
Bleach DS 2 (US) (DS)	bleach2USds	1702	7xEJsp		
Bleach DS 2: Requiem in the black robe (DS)	bleach2ds	1511	Txc4SQ		
Bleach DS 2: Requiem in the black robe (EU) (DS)	bleach2EUds	2178	B0veR8		
Blind Point  Automatch (PC)	blindpointpcam	2658	IGbJEs		
Blind Point  Demo (PC)	blindpointpcd	2659	IGbJEs		
Blind Point (PC)	blindpointpc	2657	IGbJEs		
Blitz: The League 08  Automatch (PS3)	blitz08ps3am	2014	Jk4zlB		
Blitz: The League 08  Demo (PS3)	blitz08ps3d	2015	Jk4zlB		
Blitz: The League 08 (PS3)	blitz08ps3	2013	Jk4zlB		
Blitz: The League 2005	blitz2005ps2	1085	uY39vA		
Blitzkrieg	blitzkrieg	708	fYDXBN		
Blitzkrieg 2 Liberation	blitzkrieg2liberat				
Blitzkrieg: Rolling Thunder	blitzkriegrt	1081	fYDXBN		
Blockout (Wii)	blockoutwii	2752	6DPfd2		
Blockrush! (WiiWare)	blockrushwii	2592	LbsgGO		
Blood Bowl	BloodBowl				
Blood Bowl Legendary Edition	BloodBowlLegendary				
Blood II	blood2	3	jUOF0p		
Blood Ties	bloodties				
Bloodline Champions	BloodlineChampions				
Bloodrayne	Bloodrayne				
Bloodrayne 2 D2D	Bloodrayne2D2D				
Blue Dragon (DS)	bldragonds	1995	iICaoP		
Blue Dragon - Awakened Shadow	bldragonNAds	2977	1mJhT4		
Blue Dragon - Awakened Shadow Automatch	bldragonNAdsam	2978	JfXyGi		
Blue Dragon D  Automatch (DS)	bldragonddsam		HPN6nJ		
Blue Dragon D (DS)	bldragondds		HPN6nJ		
Blue Dragon EU  Automatch (DS)	bldragoneudsam		WsdhMJ		
Blue Dragon EU (DS)	bldragoneuds		WsdhMJ		
Blue Dragon F  Automatch (DS)	bldragondfdsam		4GLxnr		
Blue Dragon F  Automatch (DS)	bldragonfdsam		4GLxnr		
Blue Dragon F (DS)	bldragonfds		4GLxnr		
Blue Dragon I  Automatch (DS)	bldragonidsam		zvpxQy		
Blue Dragon I (DS)	bldragonids		zvpxQy		
Blue Dragon S  Automatch (DS)	bldragonsdsam		kqc1U3		
Blue Dragon S (DS)	bldragonsds		kqc1U3		
Blue Mars  Automatch (PC)	bluemarspcam		qMJq8p		
Blue Mars (PC)	bluemarspc		qMJq8p		
Blue Toad Murder Files: The Mysteries of Little Riddl	BlueToadMurderFile				
Blur	blur				
Blur  Automatch (DS)	blurdsam		E8xJSw		
Blur (DS)	blurds		E8xJSw		
Bob Came In Pieces	bobcameinpieces				
Boggle	boggle	50	geaDfe		
Bokujo Monogatari DS2: Wish-ComeTrue Island (DS)	bokujomonods	1428	mM94Uc		
Bokujyo Monogatari Himawari Shoto wa Oosawagi! (DS)	bokujyods	1812	O5ZdFP		
Bokujyo Monogatari Twin Village (DS)	bokutwinvilds	2873	z9VMe9		
Bokujyo Monogatari Youkoso! Kaze no Bazzare (DS)	bokujyomonds	2272	aydHX0		
Bokura No Taiyou: Django & Sabata  (DS)	djangosabds	1485	xtWbUN		
BomberFUN Tournament	bomberfunt	906	bbeBZG		
Bomberman 2  Demo (Wii)	bomberman2wiid	2736	mWTGGw		
Bomberman 2 (Wii)	bomberman2wii	2735	mWTGGw		
Bomberman 2.0 (DS)	bomberman20ds	2083	JZ2s7T		
Bomberman Express (DSiWare)	bmbermanexdsi	2751	nhQakb		
Bomberman Story/Land DS	bombermanslds	1349	9dG7KP		
Bonk (Wii)	bonkwii	2734	QeXwBs		
Bookworm Adventures Vol 2	BookwormAdventures				
Borderlands	borderlands				
Borderlands (360)	bderlandsx360	2638	1Eu2fy		
Borderlands (PC)	bderlandspc	2632	a2Lg16		
Borderlands (PS3)	bderlandsps3	2635	Z1kXis		
Borderlands Automatch (360)	bderlands360am	2639	1Eu2fy		
Borderlands Automatch (PC)	bderlandspcam	2633	a2Lg16		
